,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa
423,424,Kab. Mamuju,Sulawesi Barat,Area 4,Sulawesi,13/88,11731,39993,68.15,278511,4999.69,600303844,9500.0,2571328.0,20.65,133867.053,103037,119834.0,191272.0,97.0
424,425,Kota Sorong,Papua Barat,Area 4,Malpua,52/-,15865,62389,78.45,284157,656.64,468463160,13954.0,3184225.0,38.91,112446.6408,173314,204816.0,232002.0,165.0
425,426,Kab. Pulau Taliabu,Maluku Utara,Area 4,Malpua,0/71,1452,27378,60.48,57794,22738.0,332146239,6290.0,4200479.0,3.89,33292.0,15280,32531.0,12587.0,10.0
426,427,Kab. Tojo Una-Una,Sulawesi Tengah,Area 4,Sulawesi,12/134,5713,37099,64.59,163576,5721.15,552080735,7608.0,2390739.0,25.43,83898.0,45935,73269.0,97295.0,49.0
427,428,Kab. Tana Tidung,Kalimantan Utara,Area 4,Kalimantan,0/32,5786,200017,66.97,25331,4828.58,413506614,7381.0,3113400.0,1.46,13496.0,14299,16783.0,18726.0,16.0
428,429,Kab. Sigi,Sulawesi Tengah,Area 4,Sulawesi,-/176,8987,37537,68.12,257332,5196.02,589752115,8236.0,2390739.0,30.0,123819.0,82130,119021.0,161306.0,165.0
429,430,Kota Ternate,Maluku Utara,Area 4,Malpua,77/-,10758,46132,79.82,204748,111.39,602070200,13091.0,4200479.0,8.18,99106.1904,126786,163905.0,126786.0,98.0
430,431,Kota Tidore Kepulauan,Maluku Utara,Area 4,Malpua,40/49,2899,28587,70.53,114227,1645.73,515610810,8188.0,4200479.0,6.66,63649.3284,44291,83149.0,44291.0,41.0
431,432,Kota Singkawang,Kalimantan Barat,Area 4,Kalimantan,26/0,10256,46009,71.94,234811,547.5,467470514,11650.0,2537875.0,10.23,116464.0,135330,180595.0,180595.0,233.0
432,433,Kab. Bombana,Sulawesi Tenggara,Area 4,Sulawesi,22/121,6431,34841,66.05,150453,3001.0,456475139,8234.0,1380536.0,18.84,87464.0,59094,85276.0,165550.5,64.0
