ID;Kota_Kabupaten;Provinsi;Area;Regional;Jumlah_Kelurahan_Desa;PDRB;PDRB_Per_Kapita;Indeks_Pembangunan_Manusia;Jumlah_Penduduk;Luas_Wilayah;Dana_Alokasi_Umum;Pengeluaran_Riil_per_Kapita_ per_Tahun;Nilai_UMR;Jumlah_Penduduk_Miskin;Jumlah_Penduduk_Bekerja;Pengguna_Internet;Pemilik_Ponsel;Pengguna_Ponsel;Jumlah_Agen_Pulsa
110;Kota Pangkal Pinang;Bangka Belitung;Area 1;Sumbagsel;42/-;13703;64417;78.22;218316;89.4;434574143;15663;0;9.4;84575;150108;150108;181433;282
111;Kota Subulussalam;Aceh;Area 1;Sumbagut;-/82;1727;21211;64.93;90498;1391;319242599;7317;4200479;14.46;29410;36144;36144;46241;40
112;Kab. Sijunjung;Sumatera Barat;Area 1;Sumbagteng;-/61;9134;38477;67.74;234792;3130.4;513243250;10361;2411378;16.28;114731;86775;124651;161304;107
113;Kab. Solok Selatan;Sumatera Barat;Area 1;Sumbagteng;-/39;5575;32589;69.04;181774;3346.2;445646713;10325;2537751;12.39;84899;68200;91099;136931;61
114;Kab. Pidie Jaya;Aceh;Area 1;Sumbagut;-/222;3461;21470;73.2;158144;1073.6;413543469;10071;4200479;31.39;66195;76503;76503;85055;105
115;Kab. Aceh Selatan;Aceh;Area 1;Sumbagut;-/260;5491;23064;67.12;232161;3841.6;607341339;8089;4200479;30.91;93032;65544;116810;139479;95
116;Kab. Kuantan Singingi;Riau;Area 1;Sumbagteng;11/218;32122;98138;70.31;335177;5259.36;609467997;10243;3045450;29.34;144598;129544;192468;239142;191
117;Kab. Aceh Singkil;Aceh;Area 1;Sumbagut;-/116;2403;19363;68.94;126261;2185;411019642;8707;4200479;25.43;41956;41253;60989;82709;66
118;Kab. Lingga;Kepulauan Riau;Area 1;Sumbagteng;7/075;4269;47552;65.29;98380;1318.21;459083527;11998;3036220;12.45;33509;33724;56182;76203;79
119;Kab. Pasaman Barat;Sumatera Barat;Area 1;Sumbagteng;-/19;15401;34709;68.49;431906;3887.77;606699346;9047;2443756;31.64;194387;133912;191678;295280;206
120;Kab. Aceh Barat Daya;Aceh;Area 1;Sumbagut;-/152;3855;25631;66.75;150522;1490.6;418989448;8316;4200479;24.21;59658;43979;76756;91020;60
121;Kab. Aceh Tamiang;Aceh;Area 1;Sumbagut;-/213;7419;25148;69.24;294590;1956.72;497724291;8327;4200479;38.93;123383;83922;151686;206100;141
122;Kab. Aceh Jaya;Aceh;Area 1;Sumbagut;-/172;2576;27736;69.75;92906;3812.99;399247229;9615;4200479;12.11;45206;25336;48687;57926;52
123;Kab. Dharmasraya;Sumatera Barat;Area 1;Sumbagteng;-/52;10351;41810;71.51;228338;2961.13;482461174;11273;2375038;15.7;122848;100929;132041;178884;169
123;Kab. Lahat;Sumatera Selatan;Area 1;Sumbagsel;18/360;17175;41953;67.44;430305;5311.74;655195267;9730;3144446;65.75;209111;147295;241093;310766;244
125;Kota Banda Aceh;Aceh;Area 1;Sumbagut;-/90;18618;68872;85.41;252646;61.36;551564266;16778;4200479;18.97;117822;188372;188372;206523;377
126;Kab. Kepulauan Meranti;Riau;Area 1;Sumbagteng;5/96;18457;99492;65.5;205863;3707.84;411574919;7790;2983926;47.1;85166;82804;124094;154504;109
127;Kab. Aceh Besar;Aceh;Area 1;Sumbagut;-/604;13289;31251;73.56;405769;2969;763979511;9641;4200479;59.7;158020;164286;234207;256963;509
128;Kab. Bireuen;Aceh;Area 1;Sumbagut;-/609;12956;27470;72.28;436652;1901.2;819566518;8857;4200479;62.42;217265;118382;225158;319816;308
129;Kab. Nagan Raya;Aceh;Area 1;Sumbagut;-/222;7381;44118;69.18;168139;3363.72;487688377;8216;4200479;29.99;69946;89242;89242;112655;72
130;Kab. Gayo Lues;Aceh;Area 1;Sumbagut;-/136;2627;27915;67.22;99279;5719.58;425668061;8791;4200479;18.42;45717;27200;46935;54010;30
131;Kota Pagar Alam;Sumatera Selatan;Area 1;Sumbagsel;35/-;2787;20024;68.31;143591;633.66;374034900;8795;3144446;12.71;67746;50735;81660;101103;67
132;Kab. Natuna;Kepulauan Riau;Area 1;Sumbagteng;6/070;21791;280188;72.72;81242;960.25;397785704;11875;3106975;3.47;27089;37413;49264;64002;68
133;Kab. Aceh Tengah;Aceh;Area 1;Sumbagut;-/295;7473;35169;73.24;215323;4318.39;577052678;10673;4200479;32.48;102948;63830;120319;154356;74
134;Kab. Musi Banyuasin;Sumatera Selatan;Area 1;Sumbagsel;13/227;66162;102248;67.69;621179;14266.26;381276692;10088;3251832;105.38;317868;176961;324910;427534;460
135;Kota Batam;Kepulauan Riau;Area 1;Sumbagteng;64/-;164484;119537;81.11;1195369;2009.04;633957071;18095;4130279;67.06;481648;801916;821945;946882;1280
136;Kab. Aceh Timur;Aceh;Area 1;Sumbagut;-/513;10318;23662;67.63;422635;6286.01;774098033;8489;4200479;62.34;158910;101130;188007;221957;201
137;Kab. Belitung Timur;Bangka Belitung;Area 1;Sumbagsel;-/39;7728;59644;70.92;126765;2506.91;423426747;11730;0;8.56;58259;63528;75075;95788;119
138;Kab. Bangka;Bangka Belitung;Area 1;Sumbagsel;19/62;13794;40891;72.4;326499;2950.68;500682611;12416;0;15.41;132128;153273;198793;247399;287
139;Kab. Indragiri Hilir;Riau;Area 1;Sumbagteng;39/197;62776;84764;66.54;653882;12614.78;897840706;9954;2984695;44.29;327970;240736;361584;475838;352
140;Kab. Bangka Selatan;Bangka Belitung;Area 1;Sumbagsel;3/50;8676;41321;66.9;197936;3607.08;442497090;11757;0;7.49;88740;79133;109642;141819;165
141;Kab. Bener Meriah;Aceh;Area 1;Sumbagut;-/232;4425;29861;72.98;161089;1454.09;427246462;11098;4200479;28.38;77768;48600;82193;114063;48
142;Kab. Aceh Utara;Aceh;Area 1;Sumbagut;-/852;19778;31931;69.33;601766;3236.86;902833982;8122;4200479;106.41;238229;133396;290070;299882;310
143;Kab. Bangka Barat;Bangka Belitung;Area 1;Sumbagsel;4/60;14168;66466;69.08;204359;2820.61;427997278;12233;0;5.83;84219;80592;114768;140989;179
144;Kab. Musi Rawas Utara;Sumatera Selatan;Area 1;Sumbagsel;89;7111;37000;64.49;188608;6008.55;368081249;9783;3144446;37.75;92036;45652;89402;122094;59
145;Kab. Bangka Tengah;Bangka Belitung;Area 1;Sumbagsel;7/56;8579;43728;70.45;198693;2155.77;426219372;12909;0;9.64;74102;86518;113173;153919;187
146;Kab. Indragiri Hulu;Riau;Area 1;Sumbagteng;16/178;41659;94296;69.83;444782;7723.8;640211130;10202;2985193;26.66;196118;208081;261343;343720;280
147;Kab. Rokan Hulu;Riau;Area 1;Sumbagteng;6/139;33910;48994;69.38;561619;7588.13;651346142;9374;2960855;73.35;304612;223005;315682;422271;303
148;Kota Lhokseumawe;Aceh;Area 1;Sumbagut;-/68;8907;42987;77.31;188460;181.06;428195816;11367;4200479;22.69;79430;115838;115838;140995;175
149;Kab. Kampar;Riau;Area 1;Sumbagteng;8/242;77423;88878;72.83;840305;10983.47;775080963;10796;2950088;65.3;345195;375855;493503;637993;669
150;Kota Tanjung Pinang;Kepulauan Riau;Area 1;Sumbagteng;18/-;20168;95319;78.91;227410;2266.77;459035650;15498;3006999;19.98;77966;145170;164934;188225;244
151;Kab. Pelalawan;Riau;Area 1;Sumbagteng;14/104;47909;99063;71.56;390280;12758.45;602962236;11606;3002383;45.88;219186;186308;239140;315247;299
152;Kab. Bengkalis;Riau;Area 1;Sumbagteng;19/136;142451;248604;73.46;564542;6975.41;344485485;11331;3261357;36.96;232055;271924;344069;423087;499
153;Kab. Siak;Riau;Area 1;Sumbagteng;9/122;82708;168793;73.68;458174;8275.18;365851291;11799;3048527;25.38;206068;248306;279706;348183;411
154;Kab. Rokan Hilir;Riau;Area 1;Sumbagteng;25/159;74714;104569;69.15;636134;8881.59;491772859;9362;2937783;48.85;280311;239575;324772;475609;392
155;Kab. Kuningan;Jawa Barat;Area 2;Jabar;15/361;25090;23215;69.38;1166659;1110.56;1136000689;9297;1882642.36;139.2;453781;529899;655755;796082;574
156;Kab. Cianjur;Jawa Barat;Area 2;Jabar;6/354;46807;20683;65.36;2478687;3840.16;1508219679;7874;2534798.99;234.47;976058;1000803;1316894;1704535;1007
157;Kota Jakarta Pusat;DKI Jakarta;Area 2;Jabo Inner;44/-;705614;760271;81.39;1055869;48.13;0;2009108.88;4267349;41.92;409589;744900;767428;856753;2504
