,ID,Kota_Kabupaten,Provinsi,Area,Regional,Jumlah_Kelurahan_Desa,PDRB,PDRB_Per_Kapita,Indeks_Pembangunan_Manusia,Jumlah_Penduduk,Luas_Wilayah,Dana_Alokasi_Umum,Pengeluaran_Riil_per_Kapita_ per_Tahun,Nilai_UMR,Jumlah_Penduduk_Miskin,Jumlah_Penduduk_Bekerja,Pengguna_Internet,Pemilik_Ponsel,Pengguna_Ponsel,Jumlah_Agen_Pulsa,log_PDRB,log_PDRB_Per_Kapita,log_Indeks_Pembangunan_Manusia,log_Dana_Alokasi_Umum,log_Pengeluaran_Riil_per_Kapita_ per_Tahun,log_Nilai_UMR,log_Jumlah_Penduduk_Miskin,log_Jumlah_Penduduk_Bekerja,log_Pengguna_Internet,log_Pemilik_Ponsel,log_Pengguna_Ponsel,log_Jumlah_Penduduk,Area_encode,Regional_Encode
216,217,Kab. Jombang,Jawa Timur,Area 3,Jatim,4/302,40494,32041,72.97,1317035,1115.09,1028640058,10999.0,2654095.0,125.94,670678.0,180925,753388.0,956425.0,637.0,10.60893378868309,10.374802821206659,4.303659605599776,20.751503435714937,9.305650551780507,14.791614665036231,4.843714533878324,13.416045911026597,12.10584338687119,13.532336973655656,13.770958699474921,14.090894315203764,3,9
217,218,Kab. Klaten,Jawa Tengah,Area 3,Jateng,10/391,39799,33872,75.56,1259479,658.22,1175695180,12074.0,1947821.16,151.83,606253.0,176958,744937.0,868232.0,628.0,10.59162219127253,10.430373515848633,4.338074747144699,20.88512545299483,9.398892478520773,14.482222465382604,5.029326192539745,13.315054319150208,12.083673346305565,13.521056272422086,13.674215390800471,14.046209495331535,3,10
218,219,Kab. Lamongan,Jawa Timur,Area 3,Jatim,4/302,39734,33415,72.58,1343138,1782.05,1111233893,11108.0,2423724.0,164.68,634816.0,165727,735618.0,902724.0,564.0,10.58998769037428,10.416790106177011,4.2983732496766285,20.828736851099055,9.315510869581722,14.70081617089065,5.110058217087329,13.361092047364028,12.018103169223618,13.508467600633763,13.713173245596453,14.110519969777357,3,9
219,220,Kab. Tulungagung,Jawa Timur,Area 3,Jatim,14/257,39215,37733,73.0,1088748,1055.65,1087050427,10455.0,1958844.0,76.4,561390.0,607046,666915.0,801848.0,525.0,10.576840105767895,10.538316823771558,4.30406509320417,20.806733835913736,9.254931255304058,14.487865571795346,4.3489867805956814,13.238172911431219,13.316361497027614,13.410419379935544,13.594675589820133,13.900539888663927,3,9
220,221,Kab. Sragen,Jawa Tengah,Area 3,Jateng,12/196,37836,42488,73.95,975924,941.54,1006988298,12720.0,1815914.85,119.38,458856.0,108082,560972.0,675058.0,455.0,10.541042738838962,10.657000497882507,4.316821224548606,20.730229830952965,9.45100945015621,14.412100498964005,4.790653406119625,13.036493893660925,11.590654729465733,13.237428055004381,13.42255537344227,13.791141018180262,3,10
221,222,Kab. Karanganyar,Jawa Tengah,Area 3,Jateng,15/162,37013,41751,75.86,930936,775.44,924285617,11569.0,1989000.0,91.72,484423.0,498625,523005.0,614666.0,521.0,10.519051498437694,10.639502633323248,4.3419855851366975,20.644531692230796,9.356170820187723,14.503143060601191,4.529584199031496,13.090715835263612,13.119611594720864,13.167348215256588,13.328835936729769,13.74394688479661,3,10
222,223,Kab. Sukoharjo,Jawa Tengah,Area 3,Jateng,17/150,36927,41403,76.98,906560,489.12,867256150,11557.0,1938000.0,68.89,454419.0,567341,576129.0,669334.0,672.0,10.516725349867771,10.63113277350364,4.356452383554451,20.58084493632285,9.355133116877724,14.477167587428587,4.246922577489038,13.026777159504995,13.248717575476379,13.264088608657314,13.414039961162388,13.71741359869463,3,10
223,224,Kab. Blitar,Jawa Timur,Area 3,Jatim,28/220,36447,31402,70.58,1222718,1336.48,1067772656,10863.0,1954705.0,108.55,652531.0,160401,681104.0,981069.0,534.0,10.503641866246909,10.35465870873383,4.2708157053378795,20.788840686847283,9.293209849798478,14.485750356461137,4.696381066041475,13.388615459122052,11.985438443164746,13.431471758268387,13.796399091761229,14.016587625391606,3,9
224,225,Kab. Tegal,Jawa Tengah,Area 3,Jateng,6/281,35232,24455,68.39,1598123,876.1,1097564744,9798.0,1896000.0,117.5,644978.0,148969,878027.0,1069100.0,588.0,10.469738422407529,10.104630863570671,4.239742764911457,20.81635969433986,9.190035618635818,14.455257489223126,4.774912960575186,13.376973037108346,11.911500222373638,13.68543376276935,13.88232866636735,14.28434099929411,3,10
225,226,Kab. Probolinggo,Jawa Timur,Area 3,Jatim,5/325,34020,29114,66.07,1151510,1696.21,945721138,10700.0,2503265.0,218.35,607717.0,81528,637750.0,790269.0,343.0,10.434733259991683,10.27900878427122,4.205736850111646,20.667458304490495,9.278092474027002,14.733106837240424,5.390668627612223,13.317466237563016,11.308714064157964,13.365703204015373,13.580129938204305,13.956585550954523,3,9
226,227,Kab. Sumenep,Jawa Timur,Area 3,Jatim,4/330,33299,30580,66.43,1123409,1998.54,1106373716,8722.0,1954705.0,220.23,651507.0,72948,604487.0,820692.0,375.0,10.413312675968536,10.328134180060221,4.2110900227464905,20.824353582609664,9.07371849443322,14.485750356461137,5.3992028843218955,13.38704495482698,11.197515845837785,13.312137097723323,13.617904384277177,13.93187926058972,3,9
227,228,Kab. Boyolali,Jawa Tengah,Area 3,Jateng,6/261,32704,33209,74.25,1061686,1008.45,966489944,13079.0,1942500.0,100.59,549582.0,114448,569978.0,693275.0,539.0,10.395283250395313,10.410606314370792,4.3208159036289855,20.689181453040696,9.47883962501119,14.479486876024321,4.620945105103454,13.216915087825276,11.647884587902611,13.253354797026782,13.449183467282502,13.875369710413183,3,10
228,229,Kab. Lumajang,Jawa Timur,Area 3,Jatim,7/198,32691,31362,65.46,1118224,1790.9,920012364,8931.0,1982295.0,102.6,533458.0,92600,578931.0,716946.0,416.0,10.39488567863602,10.353384133154211,4.196600262926448,20.63989766813443,9.097395612960048,14.499766326818223,4.640537329825382,13.18713749578669,11.43605521971203,13.268940305789322,13.482757197742213,13.927253164684803,3,9
229,230,Kab. Magelang,Jawa Tengah,Area 3,Jateng,5/367,32491,25175,69.87,1298832,1102.93,997304689,9387.0,2042200.0,146.34,741284.0,654135,834028.0,834028.0,564.0,10.388749184170845,10.133646438744243,4.260847212822164,20.720566888058322,9.147187556970914,14.52953870577146,4.9927428412546675,13.516140445717301,13.391070559890846,13.6340234529186,13.6340234529186,14.076976726957035,3,10
230,231,Kab. Jepara,Jawa Tengah,Area 3,Jateng,11/184,30231,24032,71.99,1183920,1059.25,948599557,10609.0,2040000.0,91.14,634386.0,616295,823910.0,823910.0,637.0,10.316656245029325,10.087183164883227,4.2903224454635405,20.670497305457825,9.26955223160803,14.528460856016357,4.523309159507771,13.360414457289536,13.33148264658366,13.621817793349402,13.621817793349402,13.984342369227038,3,10
231,232,Kab. Wonogiri,Jawa Tengah,Area 3,Jateng,43/251,29047,30273,70.25,1042150,1793.67,1084170043,9426.0,1797000.0,104.37,557865.0,472194,614020.0,714340.0,481.0,10.276704913094171,10.31804453732251,4.26619481914876,20.80408059482017,9.15133319139615,14.401629722248568,4.657477965611436,13.231874069155236,13.065147314843902,13.327784408498804,13.479115718347837,13.856797404424123,3,10
232,233,Kab. Kebumen,Jawa Tengah,Area 3,Jateng,11/449,27944,23326,69.81,1349411,1211.74,1206245637,9066.0,1835000.0,211.09,595203.0,656379,697223.0,943912.0,537.0,10.237993571703798,10.057366766948556,4.260000233663683,20.91077859444513,9.112396727646056,14.422555584429787,5.357010712887255,13.296659482908545,13.394495168507795,13.454862015443448,13.757789279863601,14.115179499977184,3,10
233,234,Kab. Grobogan,Jawa Tengah,Area 3,Jateng,7/273,27291,19808,69.87,1454653,2013.86,1054010287,10350.0,1830000.0,172.26,710909.0,646458,793527.0,958694.0,591.0,10.214348897935315,9.893891658862682,4.260847212822164,20.77586804792876,9.24483841238375,14.419827071265543,5.154793356461994,13.474301118494685,13.37926505677621,13.584244105030514,13.773328263655639,14.190278629621378,3,10
234,235,Kab. Nganjuk,Jawa Timur,Area 3,Jatim,20/264,26665,25284,71.72,1102875,1224.25,1005432269,11768.0,1954705.0,122.73,540021.0,111761,598286.0,731124.0,421.0,10.191144624675404,10.137966613514083,4.286616449869223,20.7286834053856,9.373224234877663,14.485750356461137,4.8181017722258845,13.199365158451316,11.624126889261058,13.301825850912076,13.502339722745328,13.913431871245065,3,9
